Subject,Catalog #,Type,Title,Facility,Days,Start,End,Building,Room
ECON,C181,DIS,International Trade,Barrows 587,M,900,959,barrows,587
ECON,C181,DIS,International Trade,Evans 41,M,1000,1059,evans,41
ECON,C181,DIS,International Trade,Valley Life Sciences 2070,M,1500,1559,valleylifesciences,2070
ECON,C181,DIS,International Trade,Valley Life Sciences 2032,M,1400,1459,valleylifesciences,2032
ECON,C181,DIS,International Trade,Hearst Gym 242,T,900,959,hearstgym,242
ECON,C181,DIS,International Trade,Morgan 138,T,800,859,morgan,138
ECON,182,LEC,Intl Monet Econ,LeConte 4,TR,800,929,leconte,4
ECON,182,DIS,Intl Monet Econ,Valley Life Sciences 2038,M,900,959,valleylifesciences,2038
ECON,182,DIS,Intl Monet Econ,Hearst Field Annex B1,R,1600,1659,hearstfieldannex,B1
ECON,191,LEC,Topic Econ Research,Evans 60,M,1800,2059,evans,60
ECON,H195A,IND,Sr Honors Thesis,Evans 597,F,1000,1159,evans,597
ECON,196,LEC,Topics In Economics,Evans 60,W,1500,1759,evans,60
EDUC,52AC,LEC,Lang In Society,Tolman 2326,TR,930,1059,tolman,2326
EDUC,130,LEC,Know Learn Math Sci,Tolman 5634,W,1300,1559,tolman,5634
EDUC,131AC,SEM,Sci And Math Equity,Tolman 4635,TR,1700,1829,tolman,4635
EDUC,140AC,LEC,Liter:Ind & Soc Dev,North Gate 105,TR,1230,1359,northgate,105
EDUC,C148,LEC,Educ And Intl Dev,Barrows 166,TR,930,1059,barrows,166
EDUC,158,LEC,Teach Reading K-8,Tolman 2515,M,1400,1559,tolman,2515
EDUC,161,LEC,Digital Learning En,Tolman 2515,TR,1230,1359,tolman,2515
EDUC,186AC,LEC,The Southern Border,Valley Life Sciences 2050,TR,1400,1529,valleylifesciences,2050
EDUC,186AC,DIS,The Southern Border,Hildebrand B51,M,1400,1459,hildebrand,B51
EDUC,186AC,DIS,The Southern Border,Cory 289,M,900,959,cory,289
EDUC,186AC,DIS,The Southern Border,Hearst Gym 242,R,1200,1259,hearstgym,242
EDUC,186AC,DIS,The Southern Border,Dwinelle 209,W,1500,1559,dwinelle,209
EDUC,186AC,DIS,The Southern Border,Hearst Field Annex B5,F,1000,1059,hearstfieldannex,B5
EDUC,186AC,DIS,The Southern Border,Dwinelle 79,W,800,859,dwinelle,79
EDUC,186AC,DIS,The Southern Border,Hildebrand B56,M,1300,1359,hildebrand,B56
EDUC,188,LEC,Latinas/Os And Ed,Genetics & Plant Bio 107,TR,1230,1359,genetics&plantbio,107
EDUC,190AC,LEC,Critical Studies,Tolman 4635,MW,1000,1159,tolman,4635
EDUC,190AC,LEC,Critical Studies,Genetics & Plant Bio 103,MW,1200,1359,genetics&plantbio,103
EDUC,190AC,LEC,Critical Studies,Genetics & Plant Bio 103,MW,1400,1559,genetics&plantbio,103
EDUC,190AC,LEC,Critical Studies,Genetics & Plant Bio 107,TR,1400,1559,genetics&plantbio,107
EDUC,195B,SEM,Special Topics,Tolman 4635,W,1600,1859,tolman,4635
EECS,149,LEC,Intro Embedded Syst,Etcheverry 3106,TR,1700,1829,etcheverry,3106
EECS,149,LAB,Intro Embedded Syst,Cory 204,R,1100,1359,cory,204
EECS,149,LAB,Intro Embedded Syst,Cory 204,W,1400,1659,cory,204
EECS,149,LAB,Intro Embedded Syst,Cory 204,R,1400,1659,cory,204
EECS,149,LAB,Intro Embedded Syst,Cory 204,T,1100,1359,cory,204
EECS,151,LEC,Intro Dig Inte Cir,Cory 521,MW,1400,1529,cory,521
EECS,151,LEC,Intro Dig Inte Cir,Cory 521,MW,1400,1529,cory,521
EECS,151,DIS,Intro Dig Inte Cir,Cory 293,M,1600,1659,cory,293
EECS,151,DIS,Intro Dig Inte Cir,Cory 293,W,1100,1159,cory,293
EECS,151LA,LAB,Intro Dig Des Ic As,Cory 125,R,1400,1659,cory,125
EECS,151LB,LAB,Dig Des Ic Fpga Lab,Cory 125,R,1100,1359,cory,125
EECS,151LB,LAB,Dig Des Ic Fpga Lab,Cory 125,R,1100,1359,cory,125
EECS,151LB,LAB,Dig Des Ic Fpga Lab,Cory 125,F,1100,1359,cory,125
EECS,151LB,LAB,Dig Des Ic Fpga Lab,Cory 125,F,1400,1659,cory,125
EGYPT,101A,LEC,Intermed Egyptian,Barrows 18,TR,1400,1529,barrows,18
ELENG,16A,LEC,Design Info Dev I,Pauley Ballroom,TR,1400,1529,pauley,Ballroom
ELENG,16A,LEC,Design Info Dev I,Pauley Ballroom,TR,1400,1529,pauley,Ballroom
ELENG,16A,LAB,Design Info Dev I,Cory 140,M,800,1059,cory,140
ELENG,16A,LAB,Design Info Dev I,Cory 140,W,1700,1959,cory,140
ELENG,16A,LAB,Design Info Dev I,Cory 140,M,1400,1659,cory,140
ELENG,16A,LAB,Design Info Dev I,Cory 140,T,1100,1359,cory,140
ELENG,16A,LAB,Design Info Dev I,Cory 140,T,1700,1959,cory,140
ELENG,16A,LAB,Design Info Dev I,Cory 140,F,1100,1359,cory,140
ELENG,16A,LAB,Design Info Dev I,Cory 140,M,1100,1359,cory,140
ELENG,16A,LAB,Design Info Dev I,Cory 140,M,1700,1959,cory,140
ELENG,16A,LAB,Design Info Dev I,Cory 140,W,1400,1659,cory,140
ELENG,16A,LAB,Design Info Dev I,Cory 140,R,1100,1359,cory,140
ELENG,16A,LAB,Design Info Dev I,Cory 140,W,1100,1359,cory,140
ELENG,16A,LAB,Design Info Dev I,Cory 140,F,1400,1659,cory,140
ELENG,16A,DIS,Design Info Dev I,Etcheverry 3113,MW,1500,1559,etcheverry,3113
ELENG,16A,DIS,Design Info Dev I,Etcheverry 3107,MW,1600,1659,etcheverry,3107
ELENG,16A,DIS,Design Info Dev I,Etcheverry 3107,MW,800,859,etcheverry,3107
ELENG,16A,DIS,Design Info Dev I,Haviland 12,MW,1300,1359,haviland,12
ELENG,16A,DIS,Design Info Dev I,Moffitt Library 106,MW,1200,1259,moffittlibrary,106
ELENG,16A,DIS,Design Info Dev I,Etcheverry 3109,MW,1500,1559,etcheverry,3109
ELENG,16A,DIS,Design Info Dev I,Hearst Mining 310,MW,900,959,hearstmining,310
ELENG,16A,DIS,Design Info Dev I,Etcheverry 3111,MW,1300,1359,etcheverry,3111
ELENG,16A,DIS,Design Info Dev I,Moffitt Library 102,MW,1700,1759,moffittlibrary,102
ELENG,16A,DIS,Design Info Dev I,Etcheverry 3109,MW,1600,1659,etcheverry,3109
ELENG,16A,DIS,Design Info Dev I,Barrows 56,MW,1300,1359,barrows,56
ELENG,16A,DIS,Design Info Dev I,Moffitt Library 106,MW,900,959,moffittlibrary,106
ELENG,16A,DIS,Design Info Dev I,Cory 241,MW,1000,1059,cory,241
ELENG,16B,LEC,Design Info Dev Ii,Hertz 320,TR,930,1059,hertz,320
ELENG,16B,LEC,Design Info Dev Ii,Hertz 320,TR,930,1059,hertz,320
ELENG,16B,LAB,Design Info Dev Ii,Cory 125,M,1700,1959,cory,125
ELENG,16B,LAB,Design Info Dev Ii,Cory 125,T,1100,1359,cory,125
ELENG,16B,LAB,Design Info Dev Ii,Cory 125,T,1400,1659,cory,125
ELENG,16B,LAB,Design Info Dev Ii,Cory 125,T,1700,1959,cory,125
ELENG,16B,LAB,Design Info Dev Ii,Cory 125,W,800,1059,cory,125
ELENG,16B,LAB,Design Info Dev Ii,Cory 125,W,1100,1359,cory,125
ELENG,16B,LAB,Design Info Dev Ii,Cory 125,W,1400,1659,cory,125
ELENG,16B,LAB,Design Info Dev Ii,Cory 125,W,1700,1959,cory,125
ELENG,16B,LAB,Design Info Dev Ii,Cory 125,R,1100,1359,cory,125
ELENG,16B,LAB,Design Info Dev Ii,Cory 125,R,1400,1659,cory,125
ELENG,16B,LAB,Design Info Dev Ii,Cory 125,F,1100,1359,cory,125
ELENG,16B,DIS,Design Info Dev Ii,Etcheverry 3109,MW,800,859,etcheverry,3109
ELENG,16B,DIS,Design Info Dev Ii,Etcheverry 3111,MW,1500,1559,etcheverry,3111
ELENG,16B,DIS,Design Info Dev Ii,Moffitt Library 106,MW,1000,1059,moffittlibrary,106
ELENG,16B,DIS,Design Info Dev Ii,Etcheverry 3111,MW,800,859,etcheverry,3111
ELENG,16B,DIS,Design Info Dev Ii,Moffitt Library 103,MW,900,959,moffittlibrary,103
ELENG,16B,DIS,Design Info Dev Ii,Etcheverry 3111,MW,1600,1659,etcheverry,3111
ELENG,16B,DIS,Design Info Dev Ii,Moffitt Library 103,MW,1200,1259,moffittlibrary,103
ELENG,16B,DIS,Design Info Dev Ii,Etcheverry 3109,MW,1700,1759,etcheverry,3109
ELENG,16B,DIS,Design Info Dev Ii,Moffitt Library 103,MW,1100,1159,moffittlibrary,103
ELENG,16B,DIS,Design Info Dev Ii,Etcheverry 3109,MW,1400,1459,etcheverry,3109
ELENG,16B,DIS,Design Info Dev Ii,Moffitt Library 106,MW,1100,1159,moffittlibrary,106
ELENG,16B,DIS,Design Info Dev Ii,Dwinelle 109,MW,800,859,dwinelle,109
ELENG,16B,DIS,Design Info Dev Ii,Etcheverry 3113,MW,1600,1659,etcheverry,3113
ELENG,39,SEM,Fresh/Soph Seminar,Jacobs Hall 210,R,1000,1159,jacobshall,210
ELENG,105,LEC,Micro Dev & Cir,Cory 241,TR,1530,1659,cory,241
ELENG,105,LAB,Micro Dev & Cir,Cory 125,M,1100,1359,cory,125
ELENG,105,LAB,Micro Dev & Cir,Cory 125,T,1100,1359,cory,125
ELENG,105,LAB,Micro Dev & Cir,Cory 125,W,900,1159,cory,125
ELENG,105,LAB,Micro Dev & Cir,Cory 125,M,1400,1659,cory,125
ELENG,105,DIS,Micro Dev & Cir,Etcheverry 3109,M,900,959,etcheverry,3109
ELENG,105,DIS,Micro Dev & Cir,Moffitt Library 103,W,1300,1359,moffittlibrary,103
ELENG,C106A,LEC,Intro To Robotics,Cory 521,TR,930,1059,cory,521
ELENG,C106A,LEC,Intro To Robotics,Cory 521,TR,930,1059,cory,521
ELENG,C106A,LEC,Intro To Robotics,Cory 521,TR,930,1059,cory,521
ELENG,C106A,LAB,Intro To Robotics,Cory 119,T,1400,1659,cory,119
ELENG,C106A,LAB,Intro To Robotics,Cory 119,W,1100,1359,cory,119
ELENG,C106A,LAB,Intro To Robotics,Cory 119,W,1400,1659,cory,119
ELENG,C106A,DIS,Intro To Robotics,Etcheverry 3111,M,900,959,etcheverry,3111
ELENG,C106A,DIS,Intro To Robotics,Etcheverry 3111,M,1000,1059,etcheverry,3111
ELENG,118,LEC,Intro Optical Eng,Hearst Mining 310,MW,1700,1829,hearstmining,310
ELENG,118,DIS,Intro Optical Eng,Dwinelle 182,W,1600,1659,dwinelle,182
ELENG,120,LEC,Signals And Systems,GSPP 150,MW,1600,1759,gspp,150
ELENG,120,REC,Signals And Systems,Cory 247,M,1500,1559,cory,247
ELENG,120,REC,Signals And Systems,Dwinelle 209,W,1800,1859,dwinelle,209
ELENG,120,REC,Signals And Systems,Dwinelle 109,R,800,859,dwinelle,109
ELENG,121,LEC,Intro Dig Com Sys,Cory 293,TR,1100,1229,cory,293
ELENG,121,DIS,Intro Dig Com Sys,Cory 293,W,1000,1059,cory,293
ELENG,126,LEC,Prob & Random P,Moffitt Library 101,TR,800,929,moffittlibrary,101
ELENG,126,DIS,Prob & Random P,Etcheverry 3113,W,1000,1059,etcheverry,3113
ELENG,126,DIS,Prob & Random P,Dwinelle 223,W,1500,1559,dwinelle,223
ELENG,126,DIS,Prob & Random P,Valley Life Sciences 2070,W,800,859,valleylifesciences,2070
ELENG,C128,LEC,Feedback Cntrl Sys,Donner Lab 155,TR,1100,1229,donnerlab,155
ELENG,C128,LAB,Feedback Cntrl Sys,Cory 125,T,1400,1659,cory,125
ELENG,C128,LAB,Feedback Cntrl Sys,Cory 125,W,1200,1459,cory,125
ELENG,C128,LAB,Feedback Cntrl Sys,Cory 125,R,800,1059,cory,125
ELENG,C128,LAB,Feedback Cntrl Sys,Cory 125,W,1700,1959,cory,125
ELENG,C128,DIS,Feedback Cntrl Sys,Cory 521,W,900,959,cory,521
ELENG,C128,DIS,Feedback Cntrl Sys,Cory 521,W,1000,1059,cory,521
ELENG,130,LEC,Ic Devices,Cory 521,TR,1530,1659,cory,521
ELENG,130,DIS,Ic Devices,Cory 521,M,1000,1059,cory,521
ELENG,130,DIS,Ic Devices,Stanley 179,W,1600,1659,stanley,179
ELENG,137A,LEC,Elec Power Systems,Cory 521,MW,1600,1729,cory,521
ELENG,137A,DIS,Elec Power Systems,Cory 299,M,1500,1559,cory,299
ELENG,137A,DIS,Elec Power Systems,Cory 299,T,1600,1659,cory,299
ELENG,140,LEC,Lin Integ Circ,Cory 247,MWF,1300,1359,cory,247
ELENG,140,LAB,Lin Integ Circ,Cory 125,M,800,1059,cory,125
ELENG,140,LAB,Lin Integ Circ,Cory 125,T,1700,1959,cory,125
ELENG,140,DIS,Lin Integ Circ,Wurster 101,M,1500,1559,wurster,101
ELENG,140,DIS,Lin Integ Circ,Dwinelle 229,M,1600,1659,dwinelle,229
ELENG,143,LEC,Microfab Tech,Cory 241,TR,1100,1229,cory,241
ELENG,143,LAB,Microfab Tech,Cory 218,M,900,1159,cory,218
ELENG,143,LAB,Microfab Tech,Cory 218,M,1700,1959,cory,218
ELENG,143,LAB,Microfab Tech,Cory 218,W,900,1159,cory,218
ELENG,143,LAB,Microfab Tech,Cory 218,W,1600,1859,cory,218
ELENG,143,LAB,Microfab Tech,Cory 218,R,1500,1759,cory,218
ELENG,143,LAB,Microfab Tech,Cory 218,F,1200,1459,cory,218
ELENG,144,LEC,Fun Algo Sys Design,Cory 540AB,MW,1430,1629,cory,540AB
ELENG,144,LEC,Fun Algo Sys Design,Cory 540AB,MW,1430,1629,cory,540AB
ELENG,C145B,LEC,Med Img Sig & S,Latimer 102,TR,1400,1529,latimer,102
ELENG,C145B,DIS,Med Img Sig & S,Dwinelle 209,W,1600,1659,dwinelle,209
ELENG,147,LEC,Microelectromec Sys,Cory 241,MWF,1300,1359,cory,241
ELENG,147,DIS,Microelectromec Sys,Cory 293,W,1200,1259,cory,293
ELENG,198,GRP,Directed Group Stdy,Cory 140,W,2000,2159,cory,140
ENERES,24,SEM,Freshman Seminar,Barrows 78,M,1400,1559,barrows,78
ENERES,C100,LEC,"Energy, Society",Stanley 105,TR,1400,1529,stanley,105
ENERES,C100,DIS,"Energy, Society",Etcheverry 3113,T,1100,1159,etcheverry,3113
ENERES,C100,DIS,"Energy, Society",Moffitt Library 103,W,1600,1659,moffittlibrary,103
ENERES,C100,DIS,"Energy, Society",Etcheverry 3113,W,1400,1459,etcheverry,3113
ENERES,C100,DIS,"Energy, Society",Genetics & Plant Bio 107,W,1600,1659,genetics&plantbio,107
ENERES,C100,DIS,"Energy, Society",Etcheverry 3109,M,1200,1259,etcheverry,3109
ENERES,C100,DIS,"Energy, Society",Cory 289,M,1300,1359,cory,289
ENERES,180,LEC,Ecol Econ History,Barrows 155,TR,1100,1229,barrows,155
ENGIN,7,LEC,Intr Computer Prog,Stanley 105,MW,900,959,stanley,105
ENGIN,7,LAB,Intr Computer Prog,Etcheverry 1109,TR,800,959,etcheverry,1109
ENGIN,7,LAB,Intr Computer Prog,Etcheverry 1109,TR,1000,1159,etcheverry,1109
ENGIN,7,LAB,Intr Computer Prog,Etcheverry 1109,TR,1200,1359,etcheverry,1109
ENGIN,7,LAB,Intr Computer Prog,Etcheverry 1109,TR,1400,1559,etcheverry,1109
ENGIN,7,LAB,Intr Computer Prog,Etcheverry 1109,TR,1600,1759,etcheverry,1109
ENGIN,7,LAB,Intr Computer Prog,Etcheverry 1109,MW,1000,1159,etcheverry,1109
ENGIN,7,LAB,Intr Computer Prog,Etcheverry 1109,MW,1200,1359,etcheverry,1109
ENGIN,7,LAB,Intr Computer Prog,Etcheverry 1109,MW,1400,1559,etcheverry,1109
ENGIN,7,LAB,Intr Computer Prog,Etcheverry 1109,MW,1600,1759,etcheverry,1109
ENGIN,7,DIS,Intr Computer Prog,Stanley 105,F,900,959,stanley,105
ENGIN,25,LEC,Vis For Des,North Gate 105,W,1100,1159,northgate,105
ENGIN,25,LAB,Vis For Des,Jacobs Hall 10,W,1400,1559,jacobshall,10
ENGIN,25,LAB,Vis For Des,Jacobs Hall 10,R,1500,1659,jacobshall,10
ENGIN,25,LAB,Vis For Des,Jacobs Hall 10,F,1100,1259,jacobshall,10
ENGIN,26,LEC,3 Dimen Mod Des,Cory 277,T,800,859,cory,277
ENGIN,26,LAB,3 Dimen Mod Des,Jacobs Hall 10,W,1200,1400,jacobshall,10
ENGIN,26,LAB,3 Dimen Mod Des,Jacobs Hall 10,R,900,1059,jacobshall,10
ENGIN,26,LAB,3 Dimen Mod Des,Jacobs Hall 10,F,900,1059,jacobshall,10
ENGIN,27,LEC,Intro Manfctrng Tol,Cory 277,W,1000,1059,cory,277
ENGIN,27,LEC,Intro Manfctrng Tol,Cory 277,W,1000,1059,cory,277
ENGIN,45,LEC,Prop Of Matls,Evans 60,MWF,1200,1259,evans,60
ENGIN,45,LAB,Prop Of Matls,Hearst Mining 230,T,800,1059,hearstmining,230
ENGIN,45,LAB,Prop Of Matls,Hearst Mining 230,T,1400,1659,hearstmining,230
ENGIN,45,LAB,Prop Of Matls,Hearst Mining 230,W,1400,1659,hearstmining,230
ENGIN,45,LAB,Prop Of Matls,Hearst Mining 230,R,1400,1659,hearstmining,230
ENGIN,45,LAB,Prop Of Matls,Hearst Mining 230,F,1400,1659,hearstmining,230
ENGIN,92,LEC,Perspectin Engin,Cory 277,M,1600,1659,cory,277
ENGIN,93,SEM,Energy Eng Seminar,Cory 241,M,1700,1759,cory,241
ENGIN,115,LEC,Eng Thermodynamics,Etcheverry 3106,MWF,1000,1059,etcheverry,3106
ENGIN,115,DIS,Eng Thermodynamics,GSPP 150,T,1700,1759,gspp,150
ENGIN,117,LEC,Meth Engr Analysis,Stanley 106,TR,1530,1659,stanley,106
ENGIN,117,DIS,Meth Engr Analysis,LeConte 3,M,1700,1759,leconte,3
ENGIN,120,LEC,Prin Of Engr Econom,Latimer 120,MW,1300,1359,latimer,120
ENGIN,120,DIS,Prin Of Engr Econom,Donner Lab 155,F,1100,1159,donnerlab,155
ENGIN,120,DIS,Prin Of Engr Econom,McCone 141,F,1400,1459,mccone,141
ENGIN,128,LAB,Adv Engr Des Graph,Etcheverry 2107,R,1830,2129,etcheverry,2107
ENGLISH,R1A,LEC,Reading And Comp,Dwinelle 262,MWF,900,959,dwinelle,262
ENGLISH,R1A,LEC,Reading And Comp,Dwinelle 225,MWF,1000,1059,dwinelle,225
ENGLISH,R1A,LEC,Reading And Comp,Evans 51,MWF,1100,1159,evans,51
ENGLISH,R1A,LEC,Reading And Comp,Barrows 50,MWF,1200,1259,barrows,50
ENGLISH,R1A,LEC,Reading And Comp,Barrows 80,MWF,1300,1359,barrows,80
ENGLISH,R1A,LEC,Reading And Comp,Morgan 138,MWF,1400,1459,morgan,138
ENGLISH,R1A,LEC,Reading And Comp,Evans 41,MWF,1500,1559,evans,41
ENGLISH,R1A,LEC,Reading And Comp,Dwinelle 211,TR,800,929,dwinelle,211
ENGLISH,R1A,LEC,Reading And Comp,Dwinelle 134,TR,1700,1829,dwinelle,134
ENGLISH,R1B,LEC,Reading And Comp,Dwinelle 225,MWF,900,959,dwinelle,225
ENGLISH,R1B,LEC,Reading And Comp,Dwinelle 211,MWF,900,959,dwinelle,211
ENGLISH,R1B,LEC,Reading And Comp,Dwinelle 211,MWF,1000,1059,dwinelle,211
ENGLISH,R1B,LEC,Reading And Comp,Dwinelle 225,MWF,1100,1159,dwinelle,225
ENGLISH,R1B,LEC,Reading And Comp,Dwinelle 134,MWF,1200,1259,dwinelle,134
ENGLISH,R1B,LEC,Reading And Comp,Dwinelle 262,MWF,1200,1259,dwinelle,262
ENGLISH,R1B,LEC,Reading And Comp,Barrows 50,MWF,1300,1359,barrows,50
ENGLISH,R1B,LEC,Reading And Comp,Dwinelle 134,MWF,1300,1359,dwinelle,134
ENGLISH,R1B,LEC,Reading And Comp,Evans 39,MWF,1400,1459,evans,39
ENGLISH,R1B,LEC,Reading And Comp,Evans 41,MWF,1400,1459,evans,41
ENGLISH,R1B,LEC,Reading And Comp,Evans 45,MWF,1500,1559,evans,45
ENGLISH,R1B,LEC,Reading And Comp,Dwinelle 175,TR,800,929,dwinelle,175
ENGLISH,R1B,LEC,Reading And Comp,Dwinelle 263,TR,1700,1829,dwinelle,263
ENGLISH,24,SEM,Freshman Seminars,Barrows 180,W,1600,1659,barrows,180
ENGLISH,27,LEC,Intro To Fiction,Valley Life Sciences 2066,MWF,1300,1359,valleylifesciences,2066
ENGLISH,31AC,LEC,Lit Amer Cultures,Hearst Mining 310,TR,930,1059,hearstmining,310
ENGLISH,45A,LEC,Lit In English,Barrows 166,MW,1000,1059,barrows,166
ENGLISH,45A,LEC,Lit In English,Dwinelle 370,MW,1300,1359,dwinelle,370
ENGLISH,45A,DIS,Lit In English,Genetics & Plant Bio 103,F,1000,1059,genetics&plantbio,103
ENGLISH,45A,DIS,Lit In English,Dwinelle 182,F,1000,1059,dwinelle,182
ENGLISH,45A,DIS,Lit In English,Wurster 101,F,1300,1359,wurster,101
ENGLISH,45A,DIS,Lit In English,Moffitt Library 103,F,1300,1359,moffittlibrary,103
ENGLISH,45B,LEC,Lit In English,McCone 141,MW,1200,1259,mccone,141
ENGLISH,45B,LEC,Lit In English,Dwinelle 370,MW,1400,1459,dwinelle,370
ENGLISH,45B,DIS,Lit In English,Hearst Field Annex B5,F,1200,1259,hearstfieldannex,B5
ENGLISH,45B,DIS,Lit In English,Wurster 101,F,1200,1259,wurster,101
ENGLISH,45B,DIS,Lit In English,Moffitt Library 103,F,1200,1259,moffittlibrary,103
ENGLISH,45B,DIS,Lit In English,Barrows 140,F,1400,1459,barrows,140
ENGLISH,45B,DIS,Lit In English,Dwinelle 229,F,1400,1459,dwinelle,229
ENGLISH,45C,LEC,Lit In English,McCone 141,MW,1100,1159,mccone,141
ENGLISH,45C,LEC,Lit In English,LeConte 251,MW,1500,1559,leconte,251
ENGLISH,45C,DIS,Lit In English,Hearst Field Annex B5,F,1100,1159,hearstfieldannex,B5
ENGLISH,45C,DIS,Lit In English,Genetics & Plant Bio 107,F,1100,1159,genetics&plantbio,107
ENGLISH,45C,DIS,Lit In English,Hearst Mining 310,F,1100,1159,hearstmining,310
ENGLISH,45C,DIS,Lit In English,Dwinelle 209,F,1500,1559,dwinelle,209
ENGLISH,45C,DIS,Lit In English,Dwinelle 223,F,1500,1559,dwinelle,223
ENGLISH,C77,LEC,Int Environ Studies,Mulford 159,TR,1230,1359,mulford,159
ENGLISH,C77,DIS,Int Environ Studies,Valley Life Sciences 2032,M,1700,1829,valleylifesciences,2032
ENGLISH,C77,DIS,Int Environ Studies,Valley Life Sciences 2038,T,1400,1529,valleylifesciences,2038
ENGLISH,C77,DIS,Int Environ Studies,Valley Life Sciences 2011,T,1530,1659,valleylifesciences,2011
ENGLISH,C77,DIS,Int Environ Studies,Dwinelle 258,W,1700,1829,dwinelle,258
ENGLISH,C77,DIS,Int Environ Studies,Kroeber 115,R,1400,1529,kroeber,115
ENGLISH,C77,DIS,Int Environ Studies,Valley Life Sciences 2011,R,1530,1659,valleylifesciences,2011
ENGLISH,84,SEM,Sophomore Seminar,Dwinelle 104,W,1400,1559,dwinelle,104
ENGLISH,104,LEC,Intro To Old Engl,Dwinelle 223,MWF,1000,1059,dwinelle,223
ENGLISH,110,LEC,Medieval Literature,Dwinelle 215,MWF,900,959,dwinelle,215
ENGLISH,115A,LEC,Eng Renaissance,Dwinelle 215,MWF,1500,1559,dwinelle,215
ENGLISH,117B,LEC,Shakespeare,McCone 141,TR,930,1059,mccone,141
ENGLISH,117S,LEC,Shakespeare,LeConte 3,MW,1100,1159,leconte,3
ENGLISH,117S,DIS,Shakespeare,Moffitt Library 103,F,1100,1159,moffittlibrary,103
ENGLISH,117S,DIS,Shakespeare,Giannini 141,F,1100,1159,giannini,141
ENGLISH,117S,DIS,Shakespeare,Wurster 101,F,1100,1159,wurster,101
ENGLISH,117T,LEC,Shakespeare/Theatre,Dwinelle 209,TR,1400,1529,dwinelle,209
ENGLISH,121,LEC,Romantic Period,Valley Life Sciences 2070,TR,1100,1229,valleylifesciences,2070
ENGLISH,125D,LEC,20th Century Novel,Dwinelle 229,MWF,1300,1359,dwinelle,229
ENGLISH,126,LEC,British Lit/1900-45,Dwinelle 229,TR,1100,1229,dwinelle,229
ENGLISH,131,LEC,American Poetry,Dwinelle 109,WF,1700,1829,dwinelle,109
ENGLISH,134,LEC,Contemp Lit,Kroeber 160,MW,1400,1459,kroeber,160
ENGLISH,134,DIS,Contemp Lit,Dwinelle 209,F,1400,1459,dwinelle,209
ENGLISH,134,DIS,Contemp Lit,Dwinelle 223,F,1400,1459,dwinelle,223
ENGLISH,134,DIS,Contemp Lit,Hearst Field Annex B5,F,1400,1459,hearstfieldannex,B5
ENGLISH,134,DIS,Contemp Lit,Moffitt Library 102,F,1400,1459,moffittlibrary,102
ENGLISH,C136,LEC,Topics In Amer Stud,Genetics & Plant Bio 103,MW,1700,1829,genetics&plantbio,103
ENGLISH,138,LEC,Stud Wor Lit Eng,Dwinelle 223,MWF,1300,1359,dwinelle,223
ENGLISH,141,LEC,Modes Of Writing,Barrows 140,TR,1530,1659,barrows,140
ENGLISH,143A,LEC,Short Fiction,Valley Life Sciences 2066,TR,1100,1229,valleylifesciences,2066
ENGLISH,143N,LEC,Prose Nonfiction,Dwinelle 259,TR,930,1059,dwinelle,259
ENGLISH,143N,LEC,Prose Nonfiction,Cory 285,TR,1230,1359,cory,285
ENGLISH,161,LEC,Int To Lit Theory,Evans 87,MWF,1100,1159,evans,87
ENGLISH,165,SEM,Special Topics,Cory 285,MWF,1300,1359,cory,285
ENGLISH,166,LEC,Special Topics,Dwinelle 223,MWF,1200,1259,dwinelle,223
ENGLISH,166,LEC,Special Topics,Dwinelle 370,MWF,1000,1059,dwinelle,370
ENGLISH,170,LEC,Lit & The Arts,Evans 85,MWF,1100,1159,evans,85
ENGLISH,170,LEC,Lit & The Arts,Dwinelle 250,TR,1530,1659,dwinelle,250
ENGLISH,171,LEC,Lit And Sexual Iden,Dwinelle 109,MWF,1500,1559,dwinelle,109
ENGLISH,171,LEC,Lit And Sexual Iden,Mulford 240,TR,1400,1529,mulford,240
ENGLISH,174,LEC,Lit & History,Dwinelle 254,TR,1530,1659,dwinelle,254
ENGLISH,175,LEC,Lit And Disability,Dwinelle 229,TR,930,1059,dwinelle,229
ENGLISH,180H,LEC,Short Story,Dwinelle 215,MWF,1200,1259,dwinelle,215
ENGLISH,190,SEM,Research Seminar,Barrows 50,MWF,1000,1059,barrows,50
ENGLISH,190,SEM,Research Seminar,Evans 41,MWF,1100,1159,evans,41
ENGLISH,190,SEM,Research Seminar,Barrows 50,MW,1700,1829,barrows,50
ENGLISH,190,SEM,Research Seminar,Dwinelle 134,W,1700,1959,dwinelle,134
ENGLISH,190,SEM,Research Seminar,Barrows 50,TR,930,1059,barrows,50
ENGLISH,190,SEM,Research Seminar,Barrows 54,TR,1100,1229,barrows,54
ENGLISH,190,SEM,Research Seminar,Barrows 50,TR,1230,1359,barrows,50
ENGLISH,190,SEM,Research Seminar,Dwinelle 262,TR,1400,1529,dwinelle,262
ENGLISH,190,SEM,Research Seminar,Dwinelle 206,T,1800,2059,dwinelle,206
ENGLISH,190,SEM,Research Seminar,Dwinelle 279,R,1800,2059,dwinelle,279
ENGLISH,H195A,LEC,Honors Course,Dwinelle 211,TR,1100,1229,dwinelle,211
ENGLISH,H195A,LEC,Honors Course,Dwinelle 247,TR,1400,1529,dwinelle,247
ENGLISH,198BC,GRP,Directed Group Stud,Wheeler 305,T,1800,1859,wheeler,305
